state_ut,area,geography_type,hh_surveyed,women_interviewed,anc_first_trimester_pct,anc_4plus_visits_pct,tetanus_protected_birth_pct,ifa_100days_pct,ifa_180days_pct,mcp_card_pct,postnatal_care_mother_2days_pct,oop_cost_public_delivery_rs,institutional_births_pct,institutional_births_public_pct,skilled_birth_attendance_pct,caesarean_overall_pct,caesarean_private_pct,caesarean_public_pct,full_immunisation_card_recall_pct,bcg_pct,polio3_pct,penta_dpt3_pct,mcv1_pct,mcv2_24to35m_pct,rotavirus3_pct,vitamin_a_pct,breastfed_1hour_pct,exclusive_breastfed_u6m_pct,adequate_diet_6to23m_pct,stunted_pct,wasted_pct,severely_wasted_pct,underweight_pct,overweight_child_pct,children_anaemic_6to59m_pct,women_bmi_below_normal_pct,women_anaemic_all_pct,women_anaemic_pregnant_pct,neonatal_mortality_rate,infant_mortality_rate,under5_mortality_rate,total_fertility_rate,women_married_before18_pct,women_literate_pct,women_10plus_yrs_school_pct,improved_drinking_water_pct,improved_sanitation_pct,clean_cooking_fuel_pct,health_insurance_pct
Karnataka,Rural,State/UT,18847.0,21493.0,69.26,70.61,92.82,40.92,23.68,98.16,87.42,4910.67,96.15,69.97,92.46,29.36,52.75,22.21,86.49,97.47,90.5,92.49,92.54,32.86,4.87,85.98,47.51,62.95,13.65,37.22,20.06,8.28,34.85,2.86,67.11,19.93,50.26,50.62,16.24,27.79,32.51,1.79,24.66,70.95,41.97,94.07,68.5,69.33,28.02
Karnataka,Total,State/UT,26574.0,30455.0,70.95,70.85,93.62,44.67,26.7,97.62,87.4,4953.92,96.96,64.76,93.83,31.54,52.54,22.56,84.08,97.15,87.55,92.06,91.22,33.44,5.89,86.24,49.1,60.95,12.83,35.43,19.52,8.4,32.94,3.18,65.52,17.15,47.76,45.73,15.81,25.4,29.51,1.67,21.25,76.69,50.22,95.33,74.78,79.73,28.11
Kerala,Urban,State/UT,5047.0,4564.0,93.91,79.32,94.73,80.53,66.19,89.85,93.09,6602.48,99.73,30.23,99.94,39.07,39.36,38.75,77.61,98.24,85.81,86.11,86.41,16.88,10.0,85.28,66.8,50.33,21.5,20.05,16.02,7.03,19.44,3.78,38.92,9.74,36.95,35.44,2.62,3.52,3.87,1.82,4.1,99.13,78.78,96.38,98.95,78.49,47.18
Kerala,Rural,State/UT,7283.0,6405.0,93.33,77.99,95.67,79.46,67.69,92.48,93.39,6789.03,99.78,37.68,99.96,38.71,40.44,36.09,78.03,96.98,82.46,84.32,90.13,14.17,9.08,83.01,66.59,59.48,25.38,26.42,15.52,4.64,19.88,4.2,39.83,10.39,35.78,27.14,4.17,5.24,6.39,1.76,8.22,97.47,75.29,93.58,98.48,66.3,55.41
Kerala,Total,State/UT,12330.0,10969.0,93.61,78.62,95.22,79.97,66.98,91.25,93.25,6710.02,99.76,34.1,99.95,38.88,39.89,37.22,77.83,97.59,84.06,85.18,88.34,15.47,9.52,84.11,66.69,55.48,23.47,23.41,15.75,5.77,19.67,4.0,39.4,10.08,36.34,31.42,3.43,4.42,5.19,1.79,6.29,98.27,76.97,94.92,98.71,72.07,51.51
Ladakh,Urban,State/UT,408.0,515.0,84.53,78.18,95.6,13.83,7.05,99.17,80.13,3910.88,99.08,98.38,100.0,47.68,,47.75,,,,,,,,94.15,59.22,,25.34,28.18,14.75,5.84,16.96,17.01,84.05,3.73,89.45,67.52,,,,1.39,0.0,77.65,53.79,97.24,74.66,97.15,26.72
Ladakh,Rural,State/UT,1410.0,1840.0,86.06,78.47,93.88,14.47,7.34,97.4,79.47,3778.99,94.02,93.74,96.17,34.97,,37.0,91.88,100.0,91.88,94.75,94.75,41.61,9.93,85.18,57.56,66.62,23.64,31.14,18.21,10.01,21.24,12.36,95.05,4.51,93.53,80.84,12.07,17.43,27.42,1.29,3.13,76.6,49.16,86.69,34.78,71.31,12.1
Ladakh,Total,State/UT,1818.0,2355.0,85.75,78.41,94.23,14.34,7.28,97.76,79.61,3807.37,95.06,94.7,96.97,37.59,,39.31,88.22,99.06,88.22,95.02,92.86,43.15,10.62,87.12,57.9,70.92,23.98,30.53,17.46,9.1,20.36,13.36,92.46,4.36,92.76,78.07,11.36,20.01,29.54,1.31,2.46,76.8,50.04,88.68,42.32,76.26,14.9
Lakshadweep,Urban,State/UT,724.0,954.0,99.46,86.18,99.5,83.63,62.19,90.69,90.7,3054.25,99.48,56.25,100.0,30.65,36.12,26.73,86.97,93.86,86.97,93.86,93.86,12.38,13.06,44.7,77.21,77.33,21.82,30.74,18.53,8.69,28.45,10.03,45.54,6.72,26.42,22.3,,,,1.38,1.91,96.4,68.24,94.62,99.74,68.48,58.4
Lakshadweep,Rural,State/UT,197.0,280.0,100.0,94.16,98.98,70.43,60.23,41.57,97.77,1769.4,100.0,91.97,100.0,33.24,,30.71,,,,,,,,45.02,74.0,,,35.59,14.17,8.87,18.41,11.75,36.05,12.41,23.74,,,,,1.6,0.01,96.82,66.28,86.69,100.0,24.7,66.71
